year,month,month_name,region,avg_temp_c,max_temp_c,min_temp_c,rainfall_mm,humidity_pct,wind_kmh,pressure_hpa
2020,1,January,Nagpur,23.1,28.4,14.2,8.5,56,8,1015
2020,2,February,Nagpur,26.3,32.1,16.4,5.8,51,9,1013
2020,3,March,Nagpur,31.2,37.8,21.1,3.9,46,10,1010
2020,4,April,Nagpur,35.8,41.5,27.3,2.1,43,11,1007
2020,5,May,Nagpur,40.7,44.9,32.8,11.2,49,12,1005
2020,6,June,Nagpur,36.4,39.8,29.5,178.0,73,16,1006
2020,7,July,Nagpur,29.8,33.1,24.6,275.3,86,18,1008
2020,8,August,Nagpur,28.2,31.5,23.9,248.7,89,17,1009
2020,9,September,Nagpur,28.9,32.4,24.2,142.0,83,14,1011
2020,10,October,Nagpur,29.7,33.8,23.5,58.4,71,10,1013
2020,11,November,Nagpur,26.5,30.9,19.8,17.2,61,8,1015
2020,12,December,Nagpur,22.8,27.3,14.8,4.9,59,8,1016
2021,1,January,Nagpur,22.8,27.9,13.8,9.1,54,8,1015
2021,2,February,Nagpur,25.9,31.6,15.9,6.2,50,9,1013
2021,3,March,Nagpur,30.8,37.2,20.7,4.3,45,10,1010
2021,4,April,Nagpur,36.1,42.0,27.8,1.8,42,11,1007
2021,5,May,Nagpur,41.2,45.3,33.2,10.5,47,12,1005
2021,6,June,Nagpur,37.0,40.1,30.0,185.0,74,16,1006
2021,7,July,Nagpur,30.1,33.5,25.0,261.0,85,18,1008
2021,8,August,Nagpur,28.5,31.8,24.2,235.4,88,17,1009
2021,9,September,Nagpur,29.2,32.7,24.5,150.0,82,14,1011
2021,10,October,Nagpur,30.0,34.2,23.9,62.0,70,10,1013
2021,11,November,Nagpur,26.9,31.2,20.1,19.0,60,8,1015
2021,12,December,Nagpur,23.1,27.6,15.1,5.3,58,8,1016
2022,1,January,Nagpur,23.4,28.6,14.5,7.8,55,8,1015
2022,2,February,Nagpur,26.7,32.4,16.8,6.0,51,9,1013
2022,3,March,Nagpur,31.5,38.1,21.4,3.5,45,10,1010
2022,4,April,Nagpur,36.4,42.3,28.0,2.5,43,11,1007
2022,5,May,Nagpur,41.5,45.8,33.5,12.0,48,13,1004
2022,6,June,Nagpur,37.2,40.5,30.3,192.0,75,17,1006
2022,7,July,Nagpur,30.4,33.8,25.3,290.0,87,19,1007
2022,8,August,Nagpur,28.8,32.0,24.5,260.0,89,17,1009
2022,9,September,Nagpur,29.5,33.0,24.8,155.0,83,15,1011
2022,10,October,Nagpur,30.2,34.5,24.1,65.0,71,10,1013
2022,11,November,Nagpur,27.2,31.5,20.4,20.0,61,8,1015
2022,12,December,Nagpur,23.4,27.9,15.4,5.8,59,8,1016
2023,1,January,Nagpur,23.6,28.9,14.8,8.0,55,8,1015
2023,2,February,Nagpur,26.9,32.6,17.0,5.5,50,9,1013
2023,3,March,Nagpur,31.8,38.4,21.7,3.2,44,10,1010
2023,4,April,Nagpur,36.7,42.6,28.3,1.5,42,11,1007
2023,5,May,Nagpur,41.8,46.1,33.8,11.8,46,12,1004
